SNo,Project Name,Scheme Name,PI Details
42,Numerical study of unsteady entropy generation and MHD combined convection in lid-driven porous enclosure,MTR,Prof. Pentyala Srinivasa Rao
43,Study of Multi-time Control Problem Governed by Curvilinear Integral Cost Functional with Applications,MTR,Prof. Anurag Jayswal
44,Investigating the optimal electricity generation mix for India using a fuzzy portfolio optimization approach,MTR,Prof. Mohd. Irfan
45,To strengthen the research facilities in the Department of Applied Geology,FIST,Prof. Shushanta Sarangi
46,Real-time energy efficient cyber-physical intelligent system for mine slope health monitoring,R&D,Prof. Radhakanta Koner
47,Enhancing the operational efficiency of a hydraulic excavator machine by introducing a novel energy recuperative mechanism,CRG,Prof. Niranjan Kumar
48,Impact of pesticide drops on a leaf: Minimizing of the use of pesticides from the study of the spread,CRG,Prof. Deepak Kumar Mandal
49,Fluid-structure interactions in a power-law fluid,MTR,Prof. Subhankar Sen
50,Design and Development of Artificial Intelligence Based Fiber optic Respiration Rate Measurement System for Psychophysiological Health Monitoring'',CRG,Prof. Amitesh Kumar
51,Improving the Economic Well-Being of Scheduled Tribe Communities (ST) Using Game Theoretic and Operations Research Techniques in Jamtara District of Jharkhand State,SEED,Prof. Rashmi Singh
52,Design and Development of Compact and Low-profile Multiband Conformal Antenna System for In-vehicle Telecommunications Equipments Supporting Cellular/Communication Bands,CRG,Prof. Ravi Kumar Gangwar
53,Quantum Error Correcting Codes (CSS Construction) with symbol pair metric over Finite Fields,MTR,Prof. Abhay Kumar Singh
54,Analytical Modelling of Multi-layered 2-D Transition metal dichalcogenide FET based Biosensor using Green’s function approach,MTR,Prof. Manodipan Sahoo
55,Mathematical study on the analysis of thermoelastic damping and frequency shift in thermoelastic micro/nano-scale beams with complexities,MTR,Prof. Abhishek Kumar Singh
56,Fabrication of different grades of tool steel by twin wire arc additive manufacturing combined with in-situ alloying,EEQ,Prof. Amitava Mandal
57,Motivate School Students and Teachers Concerning the Relevance of Science and Technology through Innovative Communication Techniques,NCSTC,Prof. Rashmi Singh
58,Development of Millimeter-Wave MIMO Cognitive Radio Systems using Metasurface and Substrate Integrated Waveguide for Future Wireless Communication,EEQ,Prof. Raghvendra Kumar Chaudhary
59,Assessment of Properties of Coal Imported by Damodar Valley Corporation,……,Prof. Barun Kumar Nandi
60,"Trace element systematics and sulfur isotope signature of auriferous sulfides within the Vempalle dolostone: Implications for refractory gold mineralization in and around Tummalapalle area of South-western Cuddapah basin, Andhra Pradesh",CRG,Prof. Sahendra Singh
61,An effort to synthesize artificial leather from jackfruit (Artocarpus heterophyllus),……,Prof. Soumit Chatterjee
62,Chemical depolymerization of polyethylene terephthalate (PET) by graphene oxide (GO) supported transition metal complexes,EEQ,Prof. Chanchal Haldar
63,"Integrated non-invasive geophysical, archeological and biogeochemical characterization of Itkhouri heritage sites in the Mohane River Valley",TDT,Prof. Sanjit Kumar Pal
64,The Lost Identity: A Sociological Study of the Silversmiths of Odisha,RP,Prof. Sruti Kanungo
65,Conservation of the metallic cultural heritage assets by waterborne superhydrophobic and anti-dust coatings,TDT,Prof. Aditya Kumar
66,Design and analysis of code based public-key cryptosystem,CARS,Prof. Abhay Kumar Singh
67,Development of Machine Learning and Blockchain-Based methods for Business Enhancement,,Prof. Rajendra Pamula
68,Studies in Nonlinear Dynamics of Mechanical Systems,INSPIRE Faculty,Prof. Aman Kumar
69,Joint geopotential field modelling for finding the missing link between the Chotanagpur Granite Gneiss Complex (CGGC) and Shillong-Meghalaya Plateau,CRG,Prof. Gangumalla Srinivasa Rao
70,Performance Assessment of Skew and Curved Railway Bridges of Diverse Structural Configurations,……,Prof. Piyali Sengupta
71,A Study on consumers’ attitude and future prospects towards buying green clothing in India,……,Prof. Krishnendu Shaw
72,Design and Investigation of High-Performance In0.52Al0.48As/In0.53Ga0.47As MOSFET with optimized switching efficiency,TTR,Prof. Kaushik Mazumdar
73,Contract for intellectual services relative to support the itf work in india in the framework of the decarbonising transport in emerging economies (dtee) and the ndc transpot initiative for asia (ncd-tia),……,Prof. Leeza Malik
74,Deconstruction of lignocellulosic biomass for bioenergy,SPG,Prof. Madhulika Gupta
75,Design and development of frequency stable and high Q-factor optoelectronic oscillator assisted by microwave photonic techniques,ERIP,Prof. Sanjeev Kumar Raghuwanshi
76,Performance Evaluation of Box & Box Girder-type Railway Bridges under Sustained and Dynamic Loading,……,Prof. Piyali Sengupta
77,Feasibility study of existing pipelines for hydrogen storage and transportation,……,Prof. Vinay Kumar Rajak
78,Development of Numerical algorithm and CDM Model for Fatigue life estimation of Hydraulic cylinder under various loading conditions,……,Prof. K. Priya Ajit
79,"Testing and analysis of coal sample for OTPS, Obra",……,Prof. Shalini Gautam
80,Bricks with grooves and projections in the masonry wall without using mortar,……,Prof. Sekhar Chandra Dutta
81,The Study of Evidence of Deep Ecology in the Early Buddhist Text,……,Prof. Gyan Prakash
82,"CBM resource estimation and feasibility study of field development using fully integrated Geocellular model approach coupled with AI/ML algorithms in the Damodar River Valley, Godavari, Mahanadi, Satpura and Rajmahal Basin, India",R&D,Prof. Rajeev Upadhyay
83,"Development of Integrated Geocellular model for CBM resource estimation with the support of Machine Learning based sub-surface image resolution enhancement and implementation of Joint-Inversion algorithm from newly acquired geoscientific data in the South Rewa Basin, Wardha valley (Wardha-Godavari basin), Kamptee sub-basin, Cambay-Kutch- Saurashtra basin and Rajasthan basin India",R&D,Prof. Saurabh Datta Gupta
84,Coastal Risk Analysis (CORAL): An India’s perspective,SRG,Prof. Vittal Hari
85,Abiotic synthesis of methane at the recess of Martian crust and prospect of microbial life in the Noachian Mars - Constraints from experimental and meteorite studies,RES,Prof. Alik Sundar Majumdar
86,"Lithotype control over gas storage, gas permeability and geomechanical attributes of coal seams: Implications for Coalbed Methane production and carbon dioxide sequestration in India",SRG,Prof. Ashutosh Tripathy
87,"Design, development and establishment of vibration assisted wire electrical discharge turning for aerospace materials to achieve better surface integrity",DRDL,Prof. Alok Kumar Das
88,"Design, synthesis and biological evaluation of Monopolar spindle 1 inhibitors as potential therapeutics for triple negative breast cancer''",SRG,Prof. Naga Rajiv Lakkaniga
89,Geometric Facility Optimization problems in Imprecise domain,SRG,Prof. Ankush Acharyya
90,Catalytic/Non-catalytic Co-Hydrothermal Liquefaction of Integrated Plastic Wastes with Food Waste/Agricultural Residue to Produce Renewable Transportation Fuel,SRG,Prof. Madhumita Patel
91,Machine learning-enabled framework for the design of new multicomponent alloys,SRG,Prof. Rahul M. R.
92,Optimization of High-Speed Railway viaduct design,……,Prof. Piyali Sengupta
93,Performance Study of Steel Oil Storage Tanks under Seismic Loading'',Seismo,Prof. Tanish Dey
94,Investigation of slow flows of non-spherical granular materials,SRG,Prof. Sandip Mandal
95,Role of Free Stream Excitation on the Separation-Induced Transition in Low Pressure Turbines Using an Accuracy-Preserving Parallel Algorithm,SRG,Prof. Aditi Sengupta
96,Experimental and numerical investigation of non-isothermal droplet dynamics in viscoelastic fluids,SRG,Prof. Antarip Poddar
97,Performance Improvement of Darrieus Hydrokinetic Turbine using different J-shape blades and Vortex Generator,TAR,Prof. Shibayan Sarkar
98,Explainable Deep Learning for Optimal Design and Robust Control of Coal Flotation Columns - Towards an Intelligent & Reliable Clean Coal Initiative,SRG,Prof. Priyanka Devi Pantula
99,Strategic Intervention for Developing Sustainable Entrepreneurial Ecosystem in Jharkhand,……,Prof. Shashank Bansal
100,Advanced Greedy Algorithms for Sparsity-Aided Generalized Online Caching,SRG,Prof. Samrat Mukhopadhyay
101,Modular Synthesis of Fluorinated Azole Pharmaceuticals using Chan-Lam Coupling Variants,SCP,Prof. Parthasarathi Das
102,Investigating the impact of pore geometry on the non-liner filtration characteristics in porous media,TAR,Prof. Mrityunjay Kumar Singh
103,Utility Driven Approach to Learn Credible Interpretations of Machine Learning Models,SRG,Prof. Koustav Rudra
104,Environmentally benign MnO 2 -nanoflower based biopolymer-nanocomposite for packaging and moisture/gas barrier properties,PDF,Prof. Ejaz Ahmad
105,Rare earth elements identification and its recovery in Indian coals and coal by-products,PDF,Prof. Aarti Kumari
106,Sampling and analysis of 58000 MT of reject from heap no. 4 B(R) Ext. New of Dahibari Coal Washery,DCW,Prof. Shravan Kumar
107,Methane Production from Gas Hydrates Using Slow Depressurization and Carbon Dioxide Injection,SRG,Prof. Pawan Gupta
108,Design of a webserver-based hybrid physiological sensor with optical cloth for real-time health specialist care,SCP,Prof. SanjeevKumar Raghuwanshi
109,Study of Strongly Coupled Non-Ideal Plasma States of Carbon at Extreme Conditions,SRG,Prof. Amitava Adak
110,Investigations of strongly correlated topological phases in heavy fermion and rare-earth materials,SRG,Prof. Sudeshna Sen
111,Capacity building for human resource development in Unmanned Aircraft System (Drone and related Technology,HRD,Prof. Ravi Kumar Gangawar
112,Smart Radio Environments: Implementation and deployment for targeted use-cases,……,Prof. Samrat Mukhopadhyay
113,Generation of high chirp rate dual chirp microwave waveform in Ku band using novel microwave photonic techniques for high performance radar application,CRG,Prof. SanjeevKumar Raghuwanshi
114,Experimental investigations for the flow of viscoelastic and shear-thinning fluids through rigid and deformable tubes and channels,SRG,Prof. Bidhan Chandra
115,Inference on parameters of discriminant functions and model-based classification for multivariate distributions,MTR,Prof. Naba Kumar Jana
116,Monitoring the aggregation kinetics of amyloid-beta and its inhibition,WOS-A,Prof. Umakanta Tripathy
117,Wave scattering by new-type floating barriers in deep water,MTR,Prof. Ramanababu Kaligatla
118,Photocatalytic Sp3 C-N Bond Formation Extended by MHAT Catalysis,PDF,Prof. Soumitra Maity
119,Development of spectrally efficient low complexity fast sparse channel estimation algorithms for orthogonal time frequency space (OTFS) modulation scheme,MTR,Prof. Himanshu Bhusan Mishra
120,Multi-Window Cross-Correlation of Ambient Noise: A Novel Approach for Machine Learning Tools in Seismic Hazard Analysis,MTR,Prof. Mohit Agrawal
121,Topological characterisation and entanglement content of the Mott metal-insulator transition,MTR,Prof. Sudeshna Sen
122,Single Crystal Growth and Study of Frustrated Magnetism in Triangular Lattice Cuprates Ba3Cu (Nb/Ta)209,SRG,Prof. Tusharkanti Dey
123,Development of Estimation Strategies for the Parameters of Stigmatized Characteristics Using Randomized Response Models,MTR,Prof. Garib Nath Singh
124,Multi-Carrier Waveforms for Intelligent Reflecting Surface (IRS) assisted Next-Generation Wireless Communication Systems,CRG,Prof. Himanshu Bhusan Mishra
125,Development of dynamic geospatial framework and land suitability database for best alternative livelihood options in Indian Sundarban region,EEQ,Prof. Sukha Ranjan Samadder
126,Evaluation and Synthesis of Green Hydrate Inhibitors with Enhanced Hydrate Inhibition and Biodegradability,CRG,Prof. Ajay Suri
127,Discontinuous Galerkin Finite Elements for Load Gerneration Mechanism in Titled pad Slider Bearing Lubrication,R&D,Prof. Srinivasa Rao Pentyala
128,Towards Interpretable Information Systems: Leveraging Efficiency with Interpretability,INSPIRE Faculty,Prof. Koustav Rudra
129,"Design, Syntheses and Applications of Bifunctional Compounds of Tetravalent Group 14 Elements",EEQ,Prof. Hari Pada Nayek
130,"High Temperature CO2 Capture using Novel Fly-ash infused CaO-MgO Sorbents in Pre & Post Combustion Processes: Kinetics, Thermodynamics and Breakthrough Studies",CRG,Prof. Soubhik Kumar Bhaumik
131,Development of an advanced dragline simulation model for improving the operational efficiency of dragline operations in NCL,R&D,Prof. Sheo Shankar Rai
132,Review of Social Impact Assessment Framework for Coal Mining Industry in India,……,PI-I: Prof. Aparna Krishna
133,"Regular Subsidence Monitoring Survey of Surda Mining Lease, Kendadih Mining Lease and Rakha Mining Lease for three (03) years",……,Prof. Mohammad Soyeb Alam
134,Autonomous and Privacy-Preserving Learning for Online and Intelligent Analysis of Urban Data,INSPIRE Faculty,Prof. Monidipa Das
135,Carrying Capacity Study of Dhanbad city under National Clean Air Program (NCAP),……,Prof. Suresh Pandian Elumalai
136,Design and Development of Substrate Integrated Waveguide based Self-multiplexing Antennas for 5G communication systems,CRG,Prof. Santanu Dwari
137,Nitrogen Removal from Coal Tar,……,Prof. Ejaz Ahmad
138,Development of Computer Program and Experimental set-up for Response Assessment of Concrete Structures under Drop-weight Impact and Contact Explosions,CRG,Prof. Satadru Das Adhikary
139,Aerodynamic and aeroacoustic characteristics and noise control of isolated and tandem propellers with and without installations,EEQ,Prof. Kabilan B
140,Development of Algorithms for Collaborative Dual Arm Manipulation and Control,CARS,Prof. Arun Dayal Udai
141,Biomechanical analysis on the use of Pulsating Liquid Jet in cement removal from the femoral canal in Revision Total Hip Arthroplasty: A novel approach for biomedical application,CRG,Prof. Amit Rai Dixit
142,Slope Instability Severity (SIS) Assessment at Coalfield Level using Integration of Innovative Spaceborne InSAR and Relevant Data for Enhanced Slope Failure Predictions,CRG,Prof. Mohammad Soyeb Alam
143,Assessment of basin scale terrestrial water balance closure and evaluation of its uncertainty,CRG,Prof. Kironmala Chanda
144,3D printing of overhang structures through different metal transfer strategies using wire arc additive manufacturing process,CRG,Prof. Alok Kumar Das
145,Regional Centre for Geodesy,NRDMS,Prof. Vasanta Govind Kumar Villuri
146,Feasibility of bulk scale production of S/N-doped porous carbon and graphitic-C3N4 based metal chalcogenides Anodes for sodium-ion battery,……,Prof. Ganesh Cahndra Nayak
147,Factors Affecting Transformational Rural Development and Enhanced Employment Opportunities through Sustainable Entrepreneurial Ventures in Rural areas of Eastern India,RP,Prof. Niladri Das
148,"Social hierarchy and resource allocation decisions: The influence of status and power on delay, social, and probability discounting",RP,Prof. Sathya Narayana Sharma
149,Performance assessment of structural design for the construction Major Bridge & ROBs in accordance with National Standards,……,Prof. Smruti Sourava Mohapatra
150,Polysaccharide based copolymeric hydrogels for biomedical applications,CRG,Prof. Sagar Pal
151,Coloring graphs with at most ?-1 Colors,R&D,Prof. Dinabandhu Pradhan
152,Effectiveness of Organ Donation Nudges: Evidence from Eastern Regions of India,RP,Prof. Sabnam Basu
153,On the reductions of airfoil-turbulence noise through novel dimple configurations,CRG,Prof. Kabilan B
154,"Detection and Monitoring of Longwall Subsidence of Moonidih Colliery, BCCL using Spaceborne SAR Interferometry (InSAR) Techniques",MND,Prof. Mohammad Soyeb Alam
155,Advanced Wear and Corrosion Resistance Coatings Development and Commercialization in India,TDT,Prof. Kesavan Ravi
156,Ultra-Low Power Neuromorphic Spiking Architecture for Assistive Smart Glass,R&D,Prof. Rajeev Kumar Ranjan
157,Concept of temporal networks in hydroclimatic modelling in a changing climate: Application to streamflow and drought,PAMC,Prof. Kironmala Chanda
158,"Single crystal growth and search for novel magnetic phases in 3d Co2 + frustrated compounds: A3CoTa2O9 (A=Ba, Sr, Ca)",CRS,Prof. Tusharkanti Dey
159,A micro-level study on the role of the “Financial Channel” in the “Resource Curse” phenomenon: Special focus on banking sector data and behavioral variables from Jharkhand,RP,Prof. Krittika Banerjee
160,Emulation Friendly Modeling of RF Power Amplifiers for Pre-Silicon Verification,……,Prof. Rahul Bhattacharya
161,Development of a finite-element based Navier-Strokes solver to study the flow of non-Newtonian fluids past single/double objects in an extremely narrow channel,CRG,Prof. Subhankar Sen
162,Performance Evaluation of Nanolubricants in Cryogenic Environment for Low Temperature Applications,CARS,Prof. Subrata Kumar Ghosh
163,FIST Engineering Sciences Level B C or D - Project,FIST,Prof. Shravan Kumar
164,Storage of hydrogen-methane mixture in porous aromatic frameworks (pafs): a multi-scale computational investigation,CRG,Prof. Sridhar Sahu
165,Utilization of Cement Slurry Waste,……,Prof. Sarat Kumar Das
166,Development of customized processing sequences of exploration seismic data in the Damodar River valley basin to detect coal seams-based reservoir towards extended CBM exploration through the build-up of high-resolution image,……,Prof. Saurabh Datta Gupta
167,Development of Synthetic Lightweight Aggregates as Backfilling Material using Hydraulic Stowing Metho,S&T,Prof. Bhanwar Singh Choudhary
168,Upgrading biogas plants using bio-electrochemical systems for transforming agro-waste to clean energy,R&D,Prof. Vipin Kumar
169,Organogermanium Supported Polynuclear Metal Complexes as Cooperatives Catalysts for Organic Reaction,……,Prof. Hari Pada Nayek
170,"Design, Fabrication and Calibration of Nanomaterial based Temperature Sensors for short-Duration Transient Measurements",……,Prof. Rakesh Kumar
171,"Creation of nodal centers for the production of imported APIs, KSMs and Intermediates to achieve self-sufficiency in health-care sector",TDT,Prof. Parthasarathi Das
172,Development of Polymer augmented surfactant-based microemulsion systems for enhanced oil recovery,SPARC,Prof. Ajay Mandal
173,Data reduction and surrogate modelling of transition to turbulence to Rayleigh-Taylor instability data obtained by DNS,IFC,Prof. Aditi Sengupta
174,Micromechanical Simulation of Overburden Dump Slope under Field Geomining Conditions,SPARC,Prof. Radhakanta Koner
175,Characterization of sulphide minerals in Indian basemetal and gold deposits for assessment of strategic element recovery opportunity,CRG,Prof. Prabodha Ranjan Sahoo
176,Assessment of Imported Coal Properties of Damodar Valley Corporation,……,Prof. Barun Kumar Nandi
177,Design of multi-stable variable stiffness composite shells for morphing applications,ARDB,Prof. Tanish Dey
178,"Studies on Tellurium, Selenium and Indium concentration in copper beneficiation plants for estimating recovery potential",R&D,Prof. Vipin Kumar
179,3D Printing of Engineering Components through cold Spray Technique,……,Prof. Alok Kumar Das
180,"The Quest for Tribal Identity: Religion, Environment and Ethnic Politics in Darjeeling Himalayas, India",RP,Prof. Sangay Tamang
181,Image-based modelling and optimisation of convection-enhanced delivery for combination therapy against heterogeneous human brain tumour,……,Prof. Ajay Bhandari
182,Development of Upconversion Nanoparticles Conjugated Carbon Dots as Amplified Singlet Oxygen Generator for Synergistic Photodynamic Therapy,STARS,Prof. Sumanta Kumar Sahu
183,Development of Suitable Methodology for Utilization of Coal Mine Overburden in Road Construction,……,Prof. Smruti Sourava Mohapatra
184,Formulation of spray technique for sand crust (Composite) with binder solutions and laboratory testing of sand crust,CARS,Prof. Sarthak Sambit Singh
185,ChalPV: Chalcogenide-Perovskite (BaZrS3) based Photovoltaic Devices,INSPIRE Faculty,Dr. Jitendra Kumar
186,Memristor Based Multilayer Neural Networks (MNN) And Its Application in Neuromorphic System,EMR,Prof. Rajeev Kr. Ranjan
187,Deployment of Smart Portable Off-Grid Hybrid Combined Heat & Power Unit Based on Hybrid Energy (Solar and Biomass) for Micro Farming and Small Food Processing Industries Located in Rural Areas of Jharkhand,……,Prof. Nitai Pal
188,"Understanding the role of chemical composition, size, and sources on the particulate matter toxicity",SRG,Prof. Saifi Izhar
189,"Cretaceous climate evolution in middle latitude Tethys, a study from green silicates of Mahadek Formation, South Shillong Shelf",SRG,Prof. Udita Bansal
190,Public Health Challenges in Mining Areas of Jharkhand,……,Prof. Deepika Sharma
191,Evaluation and Impact of the SMILE project,……,Prof. Saumya Singh
192,"IPR Chair Professor, Scheme for Pedagogy & Research in IPRs for Holistic Education and Academia (SPRIHA)",IPR-VII,Prof. Anand Rajagopal
193,Integrated Fermentation and Chemical Catalysis for Jet Range Biorenewable Fuels and Blends,BT,Prof. Ejaz Ahmad
194,Design and Analysis of Axial Flux Machine Technology for Electric Vehicle Motor Drives,SRG,Prof. Srinivas Lakshmi Vedantham
195,Investigation of Modal and Non-Modal Instability in Fluid-Porous Double-Layer Configuration,SRG,Prof. Sourav Sengupta
196,Bayesian Optimization-based Neural-Symbolic Artificial Intelligence (BONSAI) for Explainable Learning from Urban Data,SRG,Prof. Monidipa Das
197,Investigations of Interoperability of Grid-forming Assets in Hybrid Power System,SRG,Prof. Dushyant Sharma
198,Inferring Cancer Networks using Computational Biology,INSPIRE Faculty,Dr. Haswanth Vundavilli
199,Diagnostic Analysis and Process Improvement through Process Mapping: A Comprehensive Study of Ankur Biochem Private Limited,……,Prof. Bibhas Chandra
200,Blast fragment impact mitigation of structures using light weight Steel cementitious composite steel (SCCS) and functionally graded cementitious composite (FGCC) systems,ARMREB,Prof. Satadru Das Adhikary
201,"Critical Analysis, Design, EM Modeling & Optimization of millimeter wave planar antenna",DLI,Prof. Ravi Kumar Gangwar
202,Design and experimental studies of the fiber-reinforced polymer (FRP) solid rock bolts for underground mine support systems,……,Prof. Kalyan Kumar Singh
203,Data-driven Mineral Prospectivity Mapping in Jharkhand and its Surroundings,……,Prof. Partha Pratim Mandal
204,A cross-lingual study of neuron-level explainability of deep natural language processing models and its application in framework building for cross-lingual natural language processing systems,SRG,Prof. Ayan Das
205,"Assessing the feasibility of using locked GFP chromophore derivatives in protein sensing, protein imaging as well as fluorogenic RNA-aptamer based imaging to design improved fluorophores",CRG,Prof. Soumit Chatterjee
206,Effective utilization and life enhancement of tailing pond at West Bokaro,……,Prof. Sagar Pal
207,"Monitoring of Air Quality in Non-monsoon period at identified locations in Cluster 1 & Cluster 2 group of mines under Mugma Areas, ECL, both Ambient and the process area to arrive at the impact of proposed restructuring/changes in both clusters",ENV,Prof. Saifi Izhar
208,Reduction of Specific fresh Water Consumption (SFWC) at OMQ,……,Prof. Sukha Ranjan Samadder
209,Rapid growing natural flora to instantaneously develop green cover in opencast Iron ore mines,……,Prof. Subodh Kumar Maiti
210,"Assessment of Rock Mass Rippability through Geotechnical Investigations for Selection of Suitable Ripper and its Operating Parameters for Sandstone Formations of West Bokaro Mine, Tata Steel Limited",……,Prof. L.A. Kumaraswamidhas
211,Assessment of Rock Mass Rippability through Geotechnical Investigations for Aiding Selection of Suitable Ripper for Joda East and Khondbond Mines of Tata Steel Limited,……,Prof. L.A. Kumaraswamidhas
212,Quest for novel magnetism in selected 3d and 5d based transitional metal oxides,DAAD,Prof. Tusharkanti Dey
213,Aeroelastic and Gust Response Analysis of Variable Stiffness Smart Composite Wing,MTR,Prof. Prashanta Kumar Mahato
214,Synthesis of C-Aryl/Heteroaryl Glycosides via Photoredox-Catalyzed Homolysis of Glycosyl C-O Bonds: Application to the Synthesis of Neopetrosine Alkaloids A-D,CRG,Prof. Somnath Yadav
215,Application of spectroscopic methods and machine learning algorithms for a rapid and reliable estimate of the gross calorific value (GCV) in high-ash Indian coal,MTR,Prof. Anup Krishna Prasad
216,Approximate closed form solution of an FGM rotating disc subjected to thermal stresses and its inverse estimation for thermo-mechanical parameters,MTR,Prof. Ashis Mallick
217,Development of Advection-Diffusion Based Chemo-Thermo-Physical Model for Post-fracturing Pressure Build-up in Shale Formations,MTR,Prof. Vinay Kumar Rajak
218,Development of sustainable technology for efficient utilisation of goethitic ore through magnetising roasting using Biochar,……,Prof. Shatrughan Soren
219,Development of ceramic dielectric material potentially viable for microwave devices,TDT,Prof. Ravi Kumar Gangwar
220,Student Suicides in Prime Engineering Institutions’: Understanding the Socio-psychological Base of the Mental Health Emergency,RPD,Prof. Sucharita Maji
221,Site-Specific Challenges of Larger Offshore Wind Turbines along Indian Coast and Possible Geotechnical Solutions,CRG,Prof. Rajib Sarkar
