SNo,Project Name,Scheme Name,PI Details
1,Methane Drainage Prior to Mining,TMD,Prof. Devi Prasad Mishra
2,Upgradation of Power Hydraulics Lab,FIST,Prof. Kabir Dasgupta
3,Augmentation of research facility in the department of mechanical engineering,FIST,Prof. Shailendra Narayan Singh
4,Thermochemical convection in the Earth's core with thermal core-mantle interaction.,INSPIRE Faculty,Prof. Swarandeep Sahoo
5,Investigation into the planning and design aspects governing the selective coal cutting technology using surface minor for various rock conditions for clean coal production,CERI,Prof.L.A. Kumaraswamidhas
6,Tinkering and Innovation laboratory,……,Prof. Pankaj Mishra
7,CO2 and biomass as feedstock for the production of fuels and chemical intermediates (CO2BioFeed),……,Prof. Biswajit Chowdhury
8,FIST-2019 Project of Department of Electronics Engineering,FIST,Prof. Sushrut Das
9,Auto Irrigation and Soil Monitoring System for COVID-19 Migrants Engagement,……,Prof. Rajeev Kumar Ranjan
10,To strengthen the research facilities in the Department of Chemical Engineering,FIST,Prof. Rajiv Shekhar
11,Memristor Based Biosensor Design For COVID-19,SICRG,Prof. Rajeev Kumar Ranjan
12,To strengthen the research facilities in the Department of Civil Engineering,FIST,Prof. Sarat Kumar Das
13,"Micromechanics based intra and inter-laminar damage models with emphasis on spatial randomness, boundary layer and interface",INSPIRE Faculty,Prof. Subhabrata Koley
14,"Improving the quality and yield of salt produced by the marginal agarias of Kutch, Gujarat (Halwad Region) through scientific intervention and improving their income through value addition of bitterns, halophyte plantation and potable water recovery & Arid Region Reclamation Technology with respect to Lignite Mining Areas in Kutch, Gujarat",SEED,Prof. Biswajit Paul
15,Micro Scale investigation of miscibility behaviour of CO2 with crude oil for enhanced oil recovery and its geological sequestration potential in the oil field of Cambay Basin,CRG,Prof. Ajay Mandal
16,"Development of Classification, Identification and Feature Extraction Algorithms using Machine Learning and Artificial Intelligence techniques for Genome Classification, Protein Classification and Medical Image Analysis",INSPIRE Fellowship,Prof. Subhashis Chatterjee
17,Control of sprays and thermo-acoustic oscillations through an acoustic driven fuel injector: passive and active control strategy,SPR,Prof. Rabindra Nath Hota
18,Investigating Uncharted 2D Catalytic Materials for Lignocellulosic Biomass Transformation into High-Value Platform Chemicals and Fuel,SPR,Prof. Ejaz Ahmad
19,Accurate Correlation of Dot Size Distribution with the Spectral Response of AS-grown and Interdiffused Stacked Quantum Dots embedded in p-i-n Solar Cells,CRG,Prof. Subindu Kumar
20,Geospatial Science and Technologies,NRDMS,Prof. Srinivas Pasupuleti
21,Corrosion potential of industrial waste as a geomaterial using inverse dielectric spectroscopy,CRG,Prof. Sarat Kumar Das
22,Assessment of the change detection due to mining activities of SAIL-RMD mines through preparation of High-Resolution Satellite map obtained from fusion of CARTOSAT-2 and LISS-IV datasets at a scale of cadastral map and preparation of LULC maps of high-resolution satellite image,RMD,Prof. Vasanta Govind Kumar Villuri
23,Cow dung derived hybrid adsorbent for heavy metal removal and its subsequent utilization as cheaper electrodes for energy storage devices,SEED,Prof. Brijesh Kumar Mishra
24,Low-cost treatment method for fluoride and Arsenic contaminated ground water,NJJM,Prof. Brijesh Kumar Mishra
25,Dynamic Charging of Electric Vehicles Using Wireless Power Transfer Technique,……,Prof. Pradip Kumar Sadhu
26,Structural and machinery failure analyses through Vibration and Acoustic techniques,……,Prof. Madan Lal Chandravanshi
27,"Development of molecular catalysts for co2 reduction, water oxidation and reduction",……,Prof. Sumanta Kumar Padhi
28,Cloud based Smart Video Surveillance System with Application Layer Cyber Physical Systems Security,……,Prof. Arup Kumar Pal
29,Sampling and quality assessment of 1.70 Lakh Tons of Rejects of lying between gate of 5.0 MTPA Patherdih NLW Washery and to south side of Kaccha road to Siding at 5.0 MTPA Patherdih NLW Washery,……,Prof. Shalini Gautam
30,"Sampling, analysis and grading of 106805.21 MT in H-14 & 169911.38 MT in H-15 heap of Reject at Patherdih Coal Washery",……,Prof. Shravan Kumar
31,"Delineation of the Administrative Boundary of the Banki River, Garhwa District, Jharkhand: An Implication in Restoration and Conservation of the Ganga River Basin",……,Prof. Tinesh Pathania
32,Application of Two-Chamber Reactors for Safe Carbonylation Reactions: Affordable Synthesis of Stable Isotope Labelled Drug Standards,……,Prof. Parthasarathi Das
33,Design and development of knee and spinal smart protective devices for improving the health and safety of,R&D,Prof. Kalyan Kumar Singh
34,Alkylthiocyanates as New Bifunctional Reagents in Photo-Redox Reactions: Ambident Reactivity Enabling Photo-Cascade Synthesis of Diverse S- and N-Heterocycles from Olefins,CRG,Prof. Soumitra Maity
35,Assessing tsunami vulnerability of low-rise structures by SPH modelling'',CRG,Prof. Sukanta Chakraborty
36,Development Of Highly Accurate Immersed Interface Method For Direct Numerical Simulation Of Fluid-Structure Interaction Problems Under Compressible Flow Regime,CRG,Prof. Swagata Bhaumik
37,Evaluation of an evaporating nanofluid meniscus for improved performance of Heat Pipes,CRG,Prof. Pawan Kumar Singh
38,To strengthen the research facilities in the Department of Mining Engineering,FIST,Prof. Rabindra Kumar Sinha
39,On the reductions of aerofoil-turbulence noise through wavy leading and trailing edge serrations,CRG,Prof. Subramanian Narayan
40,Development of guidelines for delineation of water stressed area and designing of environmental friendly water storage structure for meeting the water needs in mining areas,R&D,Prof. Prasoon Kumar Singh
41,Linear Canonical Transform and associated Wavelets and Wavelet Transform,MTR,Prof. Akhilesh Prasad
